Gen	20KernelWeight	CobDiameter	CobWeight	DaystoSilk	DaysToTassel	EarDiameter	EarHeight	EarLength	EarRankNumber	EarRowNumber	EarWeight	GDDAnthesis-SilkingInterval	GDDDaystoSilk	GDDDaystoTassel	GerminationCount	LeafLength	LeafWidth	MainSpikeLength	MiddleLeafAngle	NIROil	NIRProtein	NIRStarch	PlantHeight	SecondaryBranchNumber	SeedSetLength	SouthernLeafBlight	Spikelets-MainSpike	Spikelets-PrimaryBranch	StandCount	TasselBranchLength	TasselLength	TasselPrimaryBranches	TilleringIndex	TotalKernelVolume	UpperLeafAngle	TotalKernelWeight
516	4.565684294	26.69986839	16.92974323	68.66670096	67.15682574	38.40259632	57.55835903	128.9303463	21.43558306	14.35873657	73.97441614	25.05144382	806.6937845	775.0940896	7.224929423	667.9975851	72.9547825	230.2258886	58.87662223	3.769483956	14.21905205	66.74549209	130.4278978	1.088227363	112.5521046	6.272661672	24.3521265	15.23285606	7.729195773	184.6645175	294.8574031	5.058032738	0.572257239	62.71791991	46.74683589	56.3845656
517	3.482069191	22.858101	13.07004024	75.22014503	73.44868125	31.9273576	63.61508267	126.5667615	21.60319853	13.34703998	50.6575826	25.93474855	878.6837577	856.8360314	6.437139224	707.1923617	77.60220692	227.6026513	56.35762499	4.2301443	13.987852	65.94426629	127.476673	1.876912657	111.985036	6.307931101	24.29107205	16.60091504	7.554385583	197.7416751	325.3219227	13.58903688	0.591941213	55.60679658	50.28924803	39.08819123
518	4.542050465	25.99433477	16.00512355	87.14986721	85.69475339	36.95014042	79.08964766	125.1019969	20.6116681	13.31979001	62.57717325	22.7542506	1014.334171	1005.273481	5.989369955	816.5607383	90.04382006	228.5638348	64.76348307	4.461443018	13.98546113	66.16508126	148.6716591	2.953328438	109.2408026	7.406044439	22.57634117	14.62258148	7.577556245	214.5797983	339.6931019	14.50365266	0.587618259	60.36505242	63.84776179	47.05668898
519	4.601216292	25.98031974	16.05039566	87.81863433	86.41081477	37.14100218	78.91924542	125.4021394	20.63849928	13.18175958	63.2847572	22.59184658	1018.935671	1010.320486	6.032203336	831.5708327	90.78267294	229.2264156	65.82456862	4.430702223	13.97656549	66.29584931	149.2301752	2.779504624	108.9991236	7.498880425	22.73469307	14.7050967	7.600543424	215.5430757	340.8298752	14.09338804	0.586464209	60.57046714	64.98432453	47.80698643
520	4.595141889	25.67876934	15.84092805	80.34047949	78.53561931	36.75837528	68.05754145	123.9973361	20.77307422	13.30631414	62.94498973	25.1950978	944.9657968	924.8870942	6.401986158	743.821545	86.11243743	227.705884	63.15885762	4.429250023	14.25709974	66.44400576	138.8160904	2.247961388	109.1750876	6.684112052	23.33448609	15.38502599	7.58470157	200.4850168	327.8767248	12.51971239	0.581295031	59.97801232	60.2889426	47.95642681
521	5.003294194	22.41431395	13.87523138	73.5691078	71.36555853	34.83315524	57.9189377	142.7711804	21.62858718	11.17873469	66.02988123	27.85645162	865.0020431	830.3368368	6.36612039	618.3145204	87.86215528	268.989818	58.80264188	4.024899881	13.62285178	67.12042974	135.0197528	0.863125287	120.3671244	7.194061803	22.91543275	15.03778558	7.458426737	193.791496	343.6505458	6.551040247	0.57260266	59.81207676	50.77787851	51.91899674
522	4.26596653	27.97713444	17.34212806	74.9745557	73.85938798	40.13042665	72.6788715	127.0950466	22.33421779	16.13125736	77.77618985	18.58483607	886.9860286	869.5376065	7.728763094	737.4848189	86.89549896	212.5477301	65.61757695	3.862249337	13.88511464	68.24712274	151.643771	1.26963472	109.2662151	6.38356629	25.01281926	14.44210306	7.827578307	179.7598873	290.1504547	6.468169696	0.577015779	63.37711748	73.63681049	60.15611896
523	4.557060262	25.10971525	15.97348261	75.22556144	73.01335572	36.59845009	59.89193518	131.7121564	21.09657769	13.54533869	66.09415723	29.02321401	888.6003765	855.8214798	6.676089938	714.3183607	84.84087151	234.1593778	62.48766761	4.432625766	14.28490223	66.80305011	136.8455621	1.46960302	114.6765787	6.256254012	24.55148147	15.80662596	7.603403038	196.0113326	326.79234	11.1061796	0.566564741	60.66230966	52.75902862	50.47902664
524	4.368271809	23.47793936	11.66253705	67.38188375	65.42185358	34.68399687	37.95958777	119.0257059	21.07329824	12.76394214	53.43307056	21.67532108	784.4525373	759.761099	6.616865348	589.5463193	62.63723133	203.8119963	49.37228464	6.087847286	15.68968675	63.49926573	107.3844948	1.374479751	110.5189268	5.239808076	23.45257643	15.42387103	7.441818739	178.9471251	287.8500557	10.55106841	0.642440262	58.8985686	35.19701335	41.90220631
525	4.501646338	26.2297682	15.62937713	82.76758656	81.80480307	37.11886892	70.34021725	124.9811643	20.78258989	13.50160039	63.50340494	22.67627783	962.9216558	953.8095576	6.068483422	778.4208787	88.85191149	222.003303	64.14983421	4.547462551	14.00245651	66.39140681	141.9584173	2.677743546	109.6013389	7.082190291	23.56631252	14.96536622	7.575367457	205.3664248	328.7069737	13.89156464	0.585234208	60.7641262	62.40313536	48.3604413
